,SymbolA,SymbolB,pair
3000000,UGT2A1,TFCP2L1,TFCP2L1__UGT2A1
3000001,TFCP2L1,UGT2A2,TFCP2L1__UGT2A2
3000002,TFCP2L1,UGT2B17,TFCP2L1__UGT2B17
3000003,UROC1,TFCP2L1,TFCP2L1__UROC1
3000004,TFCP2L1,USP17L12,TFCP2L1__USP17L12
3000005,USP17L23,TFCP2L1,TFCP2L1__USP17L23
3000006,TFCP2L1,USP17L3,TFCP2L1__USP17L3
3000007,UTS2R,TFCP2L1,TFCP2L1__UTS2R
3000008,WFDC10B,TFCP2L1,TFCP2L1__WFDC10B
3000009,WFDC13,TFCP2L1,TFCP2L1__WFDC13
3000010,TFCP2L1,ZAN,TFCP2L1__ZAN
3000011,ZAR1,TFCP2L1,TFCP2L1__ZAR1
3000012,ZBED2,TFCP2L1,TFCP2L1__ZBED2
3000013,ZCCHC18,TFCP2L1,TFCP2L1__ZCCHC18
3000014,TFCP2L1,ZDHHC11B,TFCP2L1__ZDHHC11B
3000015,ZFP3,TFCP2L1,TFCP2L1__ZFP3
3000016,TFCP2L1,ZFR2,TFCP2L1__ZFR2
3000017,ZFYVE28,TFCP2L1,TFCP2L1__ZFYVE28
3000018,TFCP2L1,ZGLP1,TFCP2L1__ZGLP1
3000019,ZIC4,TFCP2L1,TFCP2L1__ZIC4
3000020,TFCP2L1,ZNF117,TFCP2L1__ZNF117
3000021,ZNF134,TFCP2L1,TFCP2L1__ZNF134
3000022,ZNF208,TFCP2L1,TFCP2L1__ZNF208
3000023,ZNF236,TFCP2L1,TFCP2L1__ZNF236
3000024,TFCP2L1,ZNF285,TFCP2L1__ZNF285
3000025,ZNF404,TFCP2L1,TFCP2L1__ZNF404
3000026,ZNF425,TFCP2L1,TFCP2L1__ZNF425
3000027,TFCP2L1,ZNF470,TFCP2L1__ZNF470
3000028,ZNF486,TFCP2L1,TFCP2L1__ZNF486
3000029,TFCP2L1,ZNF487,TFCP2L1__ZNF487
3000030,ZNF519,TFCP2L1,TFCP2L1__ZNF519
3000031,TFCP2L1,ZNF530,TFCP2L1__ZNF530
3000032,TFCP2L1,ZNF546,TFCP2L1__ZNF546
3000033,ZNF619,TFCP2L1,TFCP2L1__ZNF619
3000034,ZNF671,TFCP2L1,TFCP2L1__ZNF671
3000035,ZNF676,TFCP2L1,TFCP2L1__ZNF676
3000036,TFCP2L1,ZNF705D,TFCP2L1__ZNF705D
3000037,ZNF727,TFCP2L1,TFCP2L1__ZNF727
3000038,ZNF737,TFCP2L1,TFCP2L1__ZNF737
3000039,TFCP2L1,ZNF789,TFCP2L1__ZNF789
3000040,ZNF841,TFCP2L1,TFCP2L1__ZNF841
